piece_id,z,x,y,temperature
1,0,12,173,84.98827711306119
1,0,13,173,70.37591222345145
1,0,14,173,75.04523300064079
1,0,15,173,73.39805614253663
1,0,16,173,75.04523300064079
1,0,17,173,70.37591222345145
1,0,18,173,84.98827711306119
1,0,12,174,70.37591222345145
1,0,13,174,45.30826649425212
1,0,14,174,53.5416393535226
1,0,15,174,50.54306707625441
1,0,16,174,53.54163935352259
1,0,17,174,45.30826649425212
1,0,18,174,70.37591222345145
1,0,12,175,75.04523300064078
1,0,13,175,53.541639353522605
1,0,14,175,62.341736077295444
1,0,15,175,58.94678409517931
1,0,16,175,62.34173607729546
1,0,17,175,53.5416393535226
1,0,18,175,75.04523300064079
1,0,12,176,73.39805614253663
1,0,13,176,50.54306707625441
1,0,14,176,58.94678409517931
1,0,15,176,55.437817972209324
1,0,16,176,58.94678409517931
1,0,17,176,50.54306707625441
1,0,18,176,73.39805614253663
1,0,12,177,75.04523300064079
1,0,13,177,53.5416393535226
1,0,14,177,62.34173607729546
1,0,15,177,58.94678409517931
1,0,16,177,62.341736077295444
1,0,17,177,53.541639353522605
1,0,18,177,75.04523300064078
1,0,12,178,70.37591222345145
1,0,13,178,45.30826649425212
1,0,14,178,53.54163935352259
1,0,15,178,50.54306707625441
1,0,16,178,53.5416393535226
1,0,17,178,45.30826649425212
1,0,18,178,70.37591222345145
1,0,12,179,84.98827711306119
1,0,13,179,70.37591222345145
1,0,14,179,75.04523300064079
1,0,15,179,73.39805614253663
1,0,16,179,75.04523300064079
1,0,17,179,70.37591222345145
1,0,18,179,84.98827711306119
1,1,12,173,119.51260680174993
1,1,13,173,98.21831130994731
1,1,14,173,104.56365970741695
1,1,15,173,102.50152819151992
1,1,16,173,104.56365970741695
1,1,17,173,98.21831130994731
1,1,18,173,119.51260680174993
1,1,12,174,98.21831130994731
1,1,13,174,62.9352741651635
1,1,14,174,73.71837286648075
1,1,15,174,70.07281331806213
1,1,16,174,73.71837286648075
1,1,17,174,62.9352741651635
1,1,18,174,98.21831130994731
1,1,12,175,104.56365970741695
1,1,13,175,73.71837286648075
1,1,14,175,85.36527808117101
1,1,15,175,81.20844487184492
1,1,16,175,85.36527808117101
